title,authors,affiliation,venue,year,latitude,longitude
"The Third Teaching Machine Learning and Artificial Intelligence Workshop, 19-23 September 2022, Grenoble, France and online.","Katherine M. Kinnaird, Peter Steinbach, Oliver Guhr","['Teaching ML', 'Proceedings of Machine Learning Research']","['Teaching ML', 'Proceedings of Machine Learning Research']",2022,,
Bengali Hate Speech Detection Dataset.,"Sumon Kanti Dey, Michael Cochez, Md. Rezaul Karim 0001",UCI Machine Learning Repository,UCI Machine Learning Repository,2022,,
181 early modern English plays: Transcriptions of early editions in TEI encoding.,"Gabriel Egan, Alexis Antonia, Brett Greatley-Hirsch, Hugh Craig",UCI Machine Learning Repository,UCI Machine Learning Repository,2022,,
DARWIN.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2022,,
Similarity Prediction.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2022,,
Toxicity.,"Seref Gül, Fatih Rahim",UCI Machine Learning Repository,UCI Machine Learning Repository,2022,,
Period Changer.,"Seref Gül, Fatih Rahim",UCI Machine Learning Repository,UCI Machine Learning Repository,2022,,
Multivariate Gait Data.,"Nathaniel Helwig, Elizabeth T. Hsiao-Wecksler",UCI Machine Learning Repository,UCI Machine Learning Repository,2022,,
Land Mines.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2022,,
Cisco Secure Workload Networks of Computing Hosts.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2022,,
NATICUSdroid (Android Permissions) Dataset.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2022,,
Auction Verification.,"Elaheh Ordoni, Jakob Bach, Ann-Katrin Fleck",UCI Machine Learning Repository,UCI Machine Learning Repository,2022,,
Dataset based on UWB for Clinical Establishments.,"Shilpa Shyam, Sujitha Juliet, Kirubakaran Ezra",UCI Machine Learning Repository,UCI Machine Learning Repository,2022,,
Sirtuin6 Small Molecules.,"Mehmet Tardu, Fatih Rahim",UCI Machine Learning Repository,UCI Machine Learning Repository,2022,,
Glioma Grading Clinical and Mutation Features Dataset.,"Erdal Tasci, Kevin Camphausen, Andra Valentina Krauze, Ying Zhuge",UCI Machine Learning Repository,UCI Machine Learning Repository,2022,,
SoDA.,"Xin Wang, Huina Meng, Fei Wang, Xilei Wu",UCI Machine Learning Repository,UCI Machine Learning Repository,2022,,
MaskReminder.,"Xin Wang, Huina Meng, Fei Wang, Xilei Wu",UCI Machine Learning Repository,UCI Machine Learning Repository,2022,,
Physical Therapy Exercises Dataset.,"Aras Yurtman, Billur Barshan",UCI Machine Learning Repository,UCI Machine Learning Repository,2022,,
When Physics Meets Machine Learning: A Survey of Physics-Informed Machine Learning.,"Chuizheng Meng, Sungyong Seo, Defu Cao, Sam Griesemer, Yan Liu 0002",CoRR,CoRR,2022,53.9634467,-7.4991271
"A Machine Learning Tutorial for Operational Meteorology, Part I: Traditional Machine Learning.","Randy J. Chase, David R. Harrison, Amanda Burke, Gary M. Lackmann, Amy McGovern",CoRR,CoRR,2022,53.9634467,-7.4991271
The Silent Problem - Machine Learning Model Failure - How to Diagnose and Fix Ailing Machine Learning Models.,"Michele Bennett, Jaya Balusu, Karin Hayes, Ewa J. Kleczyk",CoRR,CoRR,2022,53.9634467,-7.4991271
BPMN4sML: A BPMN Extension for Serverless Machine Learning. Technology Independent and Interoperable Modeling of Machine Learning Workflows and their Serverless Deployment Orchestration.,Unknown Author,CoRR,CoRR,2022,53.9634467,-7.4991271
Machine Beats Machine: Machine Learning Models to Defend Against Adversarial Attacks.,"Joze M. Rozanec, Dimitrios Papamartzivanos, Entso Veliou, Theodora Anastasiou, Jelle Keizer, Blaz Fortuna, Dunja Mladenic",CoRR,CoRR,2022,53.9634467,-7.4991271
Developmental Machine Learning: From Human Learning to Machines and Back (Dagstuhl Seminar 22422).,"James M. Rehg, Pierre-Yves Oudeyer, Linda B. Smith, Sho Tsuji, Stefan Stojanov, Ngoc Anh Thai",Dagstuhl Reports,Dagstuhl Reports,2022,,
Context-Aware Machine Learning and Mobile Data Analytics - Automated Rule-based Services with Intelligent Decision-Making,"Iqbal H. Sarker, Alan Colman, Jun Han 0004, Paul A. Watters",Context-Aware Machine Learning and Mobile Data Analytics,Context-Aware Machine Learning and Mobile Data Analytics,2021,,
"Machine Learning - Concepts, Tools and Data Visualization","Minsoo Kang, Eunsoo Choi",Machine Learning,Machine Learning,2021,-34.92073555,138.60803269841216
Machine Learning Methods for Modern Biomedical Data: Deep Learning and Reinforcement Learning in Precision Health.,Unknown Author,Unknown Venue,Unknown Venue,2021,,
Machine Learning for the distributed and dynamic management of a fleet of taxis and autonomous shuttles. (Machine Learning pour la gestion distribuée et dynamique d&apos;une flotte de taxis et navettes autonomes).,Unknown Author,Unknown Venue,Unknown Venue,2021,,
Image segmentation and registration using machine learning for brain shift compensation in image-guided neurosurgery. (Segmentation et recalage d&apos;images avec machine learning pour la compensation du brain shift en neurochirurgie guidée par image).,Unknown Author,Unknown Venue,Unknown Venue,2021,,
Interpretable machine learning for CLAS12 data analysis. (Machine learning interprétable pour l&apos;analyse de données à CLAS12).,Unknown Author,Unknown Venue,Unknown Venue,2021,,
Study of machine learning methods for optimization and reliability improvements of high power linacs. (Etude de la modélisation des accélérateurs de particules par des méthodes de «machine learning» pour optimiser et fiabiliser l&apos;opération d&apos;un linac de forte puissance).,Unknown Author,Unknown Venue,Unknown Venue,2021,,
Machine Learning sur les séries temporelles et applications à la prévision des ventes pour l&apos;E-Commerce. (Machine Learning for times series and application to E-Commerce sales forecasts).,Unknown Author,Unknown Venue,Unknown Venue,2021,,
Transfer Learning for Multiagent Reinforcement Learning Systems,"Felipe Leno da Silva, Anna Helena Reali Costa",Synthesis Lectures on Artificial Intelligence and Machine Learning,Synthesis Lectures on Artificial Intelligence and Machine Learning,2021,,
Can machine learning consistently improve the scoring power of classical scoring functions? Insights into the role of machine learning in scoring functions.,"Chao Shen 0008, Ye Hu, Zhe Wang 0041, Xujun Zhang, Haiyang Zhong, Gaoang Wang, Xiaojun Yao, Lei Xu 0035, Dong-Sheng Cao 0001, Tingjun Hou",Briefings Bioinform.,Briefings Bioinform.,2021,,
Do we need different machine learning algorithms for QSAR modeling? A comprehensive assessment of 16 machine learning algorithms on 14 QSAR data sets.,"Zhenxing Wu, Minfeng Zhu, Yu Kang 0002, Elaine Lai-Han Leung, Tailong Lei, Chao Shen 0008, Dejun Jiang 0002, Zhe Wang 0041, Dong-Sheng Cao 0001, Tingjun Hou",Briefings Bioinform.,Briefings Bioinform.,2021,,
How to Conduct Rigorous Supervised Machine Learning in Information Systems Research: The Supervised Machine Learning Report Card.,"Niklas Kühl 0001, Robin Hirt, Lucas Baier, Björn Schmitz, Gerhard Satzger",Commun. Assoc. Inf. Syst.,Commun. Assoc. Inf. Syst.,2021,,
Learning style detection in E-learning systems using machine learning techniques.,"Fareeha Rasheed, Abdul Wahid",Expert Syst. Appl.,Expert Syst. Appl.,2021,,
Developing an Explainable Machine Learning-Based Personalised Dementia Risk Prediction Model: A Transfer Learning Approach With Ensemble Learning Algorithms.,"Samuel O. Danso, Zhanhang Zeng, Graciela Terrera Muniz, Craig Ritchie",Frontiers Big Data,Frontiers Big Data,2021,,
Bagging Machine Learning Algorithms: A Generic Computing Framework Based on Machine-Learning Methods for Regional Rainfall Forecasting in Upstate New York.,"Ning Yu, Timothy Haskins",Informatics,Informatics,2021,51.0499624,13.7111674
"BetaML: The Beta Machine Learning Toolkit, a self-contained repository of Machine Learning algorithms in Julia.",Unknown Author,J. Open Source Softw.,J. Open Source Softw.,2021,,
Predicting Machine Learning Pipeline Runtimes in the Context of Automated Machine Learning.,"Felix Mohr, Marcel Wever, Alexander Tornede, Eyke Hüllermeier",IEEE Trans. Pattern Anal. Mach. Intell.,IEEE Trans. Pattern Anal. Mach. Intell.,2021,,
Declarative Machine Learning Systems: The future of machine learning will depend on it being in the hands of the rest of us.,"Piero Molino, Christopher Ré",ACM Queue,ACM Queue,2021,,
Novel Machine Learning Method Integrating Ensemble Learning and Deep Learning for Mapping Debris-Covered Glaciers.,"Yijie Lu, Zhen Zhang 0037, Donghui Shangguan, Junhua Yang",Remote. Sens.,Remote. Sens.,2021,,
"Artificial Intelligence, Machine Learning, and Signal Processing: Researchers are using artificial intelligence, machine learning, and signal processing to build powerful three-level platforms to help meet project goals [Special Reports].",Unknown Author,IEEE Signal Process. Mag.,IEEE Signal Process. Mag.,2021,,
AAAI-MAKE 2021: Combining Machine Learning and Knowledge Engineering.,"Andreas Martin 0001, Knut Hinkelmann",AAAI Spring Symposium - Combining Machine Learning with Knowledge Engineering,AAAI Spring Symposium - Combining Machine Learning with Knowledge Engineering,2021,,
Improving Machine Learning Performance Using Conceptual Modeling.,"Arturo Castellanos, Alfred Castillo, Monica Chiarini Tremblay, Roman Lukyanenko, Jeffrey Parsons, Veda C. Storey",AAAI Spring Symposium - Combining Machine Learning with Knowledge Engineering,AAAI Spring Symposium - Combining Machine Learning with Knowledge Engineering,2021,,
"Decision Support combining Machine Learning, Knowledge Representation and Case-Based Reasoning.","Carlo Mehli, Knut Hinkelmann, Stephan Jüngling",AAAI Spring Symposium - Combining Machine Learning with Knowledge Engineering,AAAI Spring Symposium - Combining Machine Learning with Knowledge Engineering,2021,,
Evaluation of Machine Learning Algorithms in a Human-Computer Hybrid Record Linkage System.,"Mahin Ramezani, Guru Ilangovan, Hye-Chung Kum",AAAI Spring Symposium - Combining Machine Learning with Knowledge Engineering,AAAI Spring Symposium - Combining Machine Learning with Knowledge Engineering,2021,,
Machine Learning in Space: A Review of Machine Learning Algorithms and Hardware for Space Applications.,"James Murphy, John E. Ward, Brian Mac Namee",AICS,AICS,2021,14.6641015,-17.4410373
"Critical Tools for Machine Learning: Situating, Figuring, Diffracting, Fabulating Machine Learning Systems Design.","Goda Klumbyte, Claude Draude, Alex S. Taylor",CHItaly,CHItaly,2021,,
Machine Learning and Deep Learning applications in E-learning Systems: A Literature Survey using Topic Modeling Approach.,"Chakir Fri, Rachid Elouahbi",CIST,CIST,2021,50.5546678,-4.0414129
Targeted Machine Learning: how we can use machine learning for causal inference.,Unknown Author,EGC,EGC,2021,44.825225599999996,0.5165842567676884
Comparing the performance of machine learning and deep learning algorithms classifying messages in Facebook learning group.,"Cheng-Yo Huang-Fu, Chen-Hsuan Liao, Jiun-Yu Wu",ICALT,ICALT,2021,,
Machine Learning Explanations as Boundary Objects: How AI Researchers Explain and Non-Experts Perceive Machine Learning.,"Amid Ayobi, Katarzyna Stawarz, Dmitri S. Katz, Paul Marshall, Taku Yamagata, Raúl Santos-Rodríguez, Peter A. Flach, Aisling Ann O&apos;Kane",IUI Workshops,IUI Workshops,2021,,
Integrating Iterative Machine Teaching and Active Learning into the Machine Learning Loop.,"Eduardo Mosqueira-Rey, David Alonso-Ríos, Andrés Baamonde-Lozano",KES,KES,2021,27.4390218,30.8161641
Comparing supervised machine learning approaches to automatically code learning designs in mobile learning.,"Gerti Pishtari, Luis Pablo Prieto, María Jesús Rodríguez-Triana, Roberto Martínez Maldonado",LASI-SPAIN,LASI-SPAIN,2021,,
&quot;I Never Thought About Securing My Machine Learning Systems&quot;: A Study of Security and Privacy Awareness of Machine Learning Practitioners.,"Franziska Boenisch, Verena Battis, Nicolas Buchmann, Maija Poikela",MuC,MuC,2021,48.353962499999994,11.778592469106236
Teaching Machine Learning to Computer Science Preservice Teachers: Human vs. Machine Learning.,"Koby Mike, Rinat B. Rosenberg-Kima",SIGCSE,SIGCSE,2021,,
Performance comparison of Extreme Learning Machines and other machine learning methods on WBCD data set.,"Ömer Selim Keskin, Akif Durdu, Muhammet Fatih Aslan, Abdullah Yusefi",SIU,SIU,2021,22.814569,88.2290714
Bringing machine learning closer to non-experts: proposal of a user-friendly machine learning tool in the healthcare domain.,"Andrea Vázquez-Ingelmo, Julia Alonso-Sánchez, Alicia García-Holgado, Francisco José García-Peñalvo, Jesús Sampedro-Gómez, Antonio Sánchez-Puente, Víctor Vicente-Palacios, Pedro Ignacio Dorado-Díaz, Pedro L. Sánchez",TEEM,TEEM,2021,45.35090678485495,9.353972906991958
Automated Machine Learning - A Brief Review at the End of the Early Years.,Unknown Author,Automated Design of Machine Learning and Search Algorithms,Automated Design of Machine Learning and Search Algorithms,2021,,
Recent Developments of Automated Machine Learning and Search Techniques.,Unknown Author,Automated Design of Machine Learning and Search Algorithms,Automated Design of Machine Learning and Search Algorithms,2021,,
"Proceedings of the AAAI 2021 Spring Symposium on Combining Machine Learning and Knowledge Engineering (AAAI-MAKE 2021), Stanford University, Palo Alto, California, USA, March 22-24, 2021.","Andreas Martin 0001, Knut Hinkelmann, Hans-Georg Fill, Aurona Gerber, Doug Lenat, Reinhard Stolle, Frank van Harmelen","['AAAI Spring Symposium - Combining Machine Learning with Knowledge Engineering', 'CEUR Workshop Proceedings']","['AAAI Spring Symposium - Combining Machine Learning with Knowledge Engineering', 'CEUR Workshop Proceedings']",2021,,
"Asian Conference on Machine Learning, ACML 2021, 17-19 November 2021, Virtual Event.","Vineeth N. Balasubramanian, Ivor W. Tsang","['ACML', 'Proceedings of Machine Learning Research']","['ACML', 'Proceedings of Machine Learning Research']",2021,,
"Proceedings of the 38th International Conference on Machine Learning, ICML 2021, 18-24 July 2021, Virtual Event.","Marina Meila, Tong Zhang 0001","['ICML', 'Proceedings of Machine Learning Research']","['ICML', 'Proceedings of Machine Learning Research']",2021,,
"Machine Learning for Health, ML4H@NeurIPS 2021, 04 December 2021, Virtual Event.","Subhrajit Roy, Stephen Pfohl, Emma Rocheteau, Girmaw Abebe Tadesse, Luis Oala, Fabian Falck, Yuyin Zhou, Liyue Shen, Ghada Zamzmi, Purity Mugambi, Ayah Zirikly, Matthew B. A. McDermott, Emily Alsentzer","['ML4H@NeurIPS', 'Proceedings of Machine Learning Research']","['ML4H@NeurIPS', 'Proceedings of Machine Learning Research']",2021,,
"Machine Learning in Computational Biology Meeting, MLCB 2021, online, November 22-23, 2021.","David A. Knowles, Sara Mostafavi, Su-In Lee","['MLCB', 'Proceedings of Machine Learning Research']","['MLCB', 'Proceedings of Machine Learning Research']",2021,,
"Proceedings of the Machine Learning for Healthcare Conference, MLHC 2021, 6-7 August 2021, Virtual Event.","Ken Jung, Serena Yeung, Mark P. Sendak, Michael W. Sjoding, Rajesh Ranganath","['MLHC', 'Proceedings of Machine Learning Research']","['MLHC', 'Proceedings of Machine Learning Research']",2021,,
"Mathematical and Scientific Machine Learning, 16-19 August 2021, Virtual Conference / Lausanne, Switzerland.","Joan Bruna, Jan S. Hesthaven, Lenka Zdeborová","['MSML', 'Proceedings of Machine Learning Research']","['MSML', 'Proceedings of Machine Learning Research']",2021,,
"Machine Learning with Symbolic Methods and Knowledge Graphs co-located with European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases (ECML PKDD 2021), Virtual, September 17, 2021.","Mehwish Alam, Mehdi Ali, Paul Groth, Pascal Hitzler, Jens Lehmann 0001, Heiko Paulheim, Achim Rettinger, Harald Sack, Afshin Sadeghi, Volker Tresp","['MLSMKG@PKDD/ECML', 'CEUR Workshop Proceedings']","['MLSMKG@PKDD/ECML', 'CEUR Workshop Proceedings']",2021,,
"NeurIPS 2021 Workshop on Pre-Registration in Machine Learning, 13 December 2021, Virtual","Samuel Albanie, João F. Henriques, Luca Bertinetto, Alex Hernández-García, Hazel Doughty, Gül Varol","['Pre-Registration Workshop @ NeurIPS', 'Proceedings of Machine Learning Research']","['Pre-Registration Workshop @ NeurIPS', 'Proceedings of Machine Learning Research']",2021,,
"Proceedings of the Second Teaching Machine Learning and Artificial Intelligence Workshop, September 8+13, 2021, Virtual Conference.","Katherine M. Kinnaird, Peter Steinbach, Oliver Guhr","['Teaching ML', 'Proceedings of Machine Learning Research']","['Teaching ML', 'Proceedings of Machine Learning Research']",2021,,
Smartphone Dataset for anomaly detection in Crowds.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2021,,
2D elastodynamic metamaterials.,"Alexander C. Ogren, Zhi Chen 0009, L. Catherine Brinson, Mary Bastawrous, Cynthia Rudin, Chiara Daraio",UCI Machine Learning Repository,UCI Machine Learning Repository,2021,,
Sundanese Twitter Dataset.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2021,,
Predict students&apos; dropout and academic success.,"Valentim Realinho, Mónica V. Martins, Jorge Machado, Luís M. T. Baptista",UCI Machine Learning Repository,UCI Machine Learning Repository,2021,,
Traffic Flow Forecasting.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2021,,
Physics Informed Machine Learning of SPH: Machine Learning Lagrangian Turbulence.,"Michael Woodward, Yifeng Tian, Criston Hyett, Chris Fryer, Daniel Livescu, Mikhail G. Stepanov, Michael Chertkov",CoRR,CoRR,2021,53.9634467,-7.4991271
Modelling of Received Signals in Molecular Communication Systems based machine learning: Comparison of azure machine learning and Python tools.,"Soha Mohamed, Mahmoud S. Fayed",CoRR,CoRR,2021,53.9634467,-7.4991271
The interplay of machine learning and metaheuristics. (Les interactions entre le machine learning et la métaheuristique).,Unknown Author,Unknown Venue,Unknown Venue,2020,,
A novel randomized machine learning approach: Reservoir computing extreme learning machine.,Unknown Author,Appl. Soft Comput.,Appl. Soft Comput.,2020,,
"Bridging learning sciences, machine learning and affective computing for understanding cognition and affect in collaborative learning.","Sanna Järvelä, Dragan Gasevic, Tapio Seppänen, Mykola Pechenizkiy, Paul A. Kirschner",Br. J. Educ. Technol.,Br. J. Educ. Technol.,2020,,
Can machine learning model with static features be fooled: an adversarial machine learning approach.,"Rahim Taheri, Reza Javidan, Mohammad Shojafar, P. Vinod 0001, Mauro Conti",Clust. Comput.,Clust. Comput.,2020,,
SoK: Machine vs. machine - A systematic classification of automated machine learning-based CAPTCHA solvers.,"Antreas Dionysiou, Elias Athanasopoulos",Comput. Secur.,Comput. Secur.,2020,,
Preserving User Privacy for Machine Learning: Local Differential Privacy or Federated Machine Learning?,"Huadi Zheng, Haibo Hu 0001, Ziyang Han",IEEE Intell. Syst.,IEEE Intell. Syst.,2020,,
Securing Machine Learning in the Cloud: A Systematic Review of Cloud Machine Learning Security.,"Adnan Qayyum, Aneeqa Ijaz, Muhammad Usama, Waleed Iqbal, Junaid Qadir 0001, Yehia Elkhatib, Ala I. Al-Fuqaha",Frontiers Big Data,Frontiers Big Data,2020,,
Learning local discriminative representations via extreme learning machine for machine fault diagnosis.,"Yue Li 0024, Yijie Zeng, Yuanyuan Qing, Guang-Bin Huang",Neurocomputing,Neurocomputing,2020,,
Using supervised machine learning on large-scale online forums to classify course-related Facebook messages in predicting learning achievement within the personal learning environment.,"Jiun-Yu Wu, Yi-Cheng Hsiao, Mei-Wen Nian",Interact. Learn. Environ.,Interact. Learn. Environ.,2020,,
"Machine Learning in Python: Main Developments and Technology Trends in Data Science, Machine Learning, and Artificial Intelligence.","Sebastian Raschka, Joshua Patterson, Corey Nolet",Inf.,Inf.,2020,19.56168865,5.749792101582232
A Review on Intelligent Object Perception Methods Combining Knowledge-based Reasoning and Machine Learning.,"Filippos Gouidis, Alexandros Vassiliades, Theodore Patkos, Antonis A. Argyros, Nick Bassiliades, Dimitris Plexousakis",AAAI Spring Symposium - Combining Machine Learning with Knowledge Engineering,AAAI Spring Symposium - Combining Machine Learning with Knowledge Engineering,2020,,
Knowledge Infused Learning (K-IL): Towards Deep Incorporation of Knowledge in Deep Learning.,"Ugur Kursuncu, Manas Gaur, Amit P. Sheth",AAAI Spring Symposium - Combining Machine Learning with Knowledge Engineering,AAAI Spring Symposium - Combining Machine Learning with Knowledge Engineering,2020,,
A Study in Practical Solutions to Sarcasm Detection with Machine Learning and Knowledge Engineering Techniques.,"Chia Zheng Lin, Michal Ptaszynski, Fumito Masui, Gniewosz Leliwa, Michal Wroczynski",AAAI Spring Symposium - Combining Machine Learning with Knowledge Engineering,AAAI Spring Symposium - Combining Machine Learning with Knowledge Engineering,2020,,
Combining Machine Learning and Knowledge Engineering in Practice (AAAI-MAKE 2020) - Volume I: Spring Symposium.,"Andreas Martin 0001, Knut Hinkelmann",AAAI Spring Symposium - Combining Machine Learning with Knowledge Engineering,AAAI Spring Symposium - Combining Machine Learning with Knowledge Engineering,2020,,
Adversarial Machine Learning: Difficulties in Applying Machine Learning to Existing Cybersecurity Systems.,"Nick Rahimi, Jordan Maynor, Bidyut Gupta",CATA,CATA,2020,15.6134137,19.0156172
A Survey of Learning Style Detection Method using Eye-Tracking and Machine Learning in Multimedia Learning.,"Sunu Wibirama, A. G. Pradnya Sidhawara, Generosa Lukhayu Pritalia, Teguh Bharata Adji",CcS,CcS,2020,10.60316215,-66.99667670060362
Resilient Machine Learning (rML) Ensemble Against Adversarial Machine Learning Attacks.,"Likai Yao, Cihan Tunc, Pratik Satam, Salim Hariri",DDDAS,DDDAS,2020,,
Machine learning for middle-schoolers: Children as designers of machine-learning apps.,"Henriikka Vartiainen, Tapani Toivonen, Ilkka Jormanainen, Juho Kahila, Matti Tedre, Teemu Valtonen",FIE,FIE,2020,59.5347796,-1.6284978260484486
Automated Essay Scoring (AES); A Semantic Analysis Inspired Machine Learning Approach: An automated essay scoring system using semantic analysis and machine learning is presented in this research.,"Ahsan Ikram, Billy Castle",ICETC,ICETC,2020,,
Machine Learning approach to Secure Software Defined Network: Machine Learning and Artificial Intelligence.,"Afaf D. Althobiti, Rabab M. Almohayawi, Omaimah Bamasag",ICFNDS,ICFNDS,2020,,
Hacking Machine Learning: Towards The Comprehensive Taxonomy of Attacks Against Machine Learning Systems.,Unknown Author,ICIAI,ICIAI,2020,,
"Digital Phenotyping and Machine Learning in the Next Generation of Digital Health Technologies: Utilising Event Logging, Ecological Momentary Assessment &amp; Machine Learning.",Unknown Author,ICT4AWE,ICT4AWE,2020,,
Feature Bagging and Extreme Learning Machines: Machine Learning with Severe Memory Constraints.,"Kallin Khan, Edward R. Ratner, Robert Ludwig, Amaury Lendasse",IJCNN,IJCNN,2020,,
Hybrid Machine Learning Model of Extreme Learning Machine Radial basis function for Breast Cancer Detection and Diagnosis; a Multilayer Fuzzy Expert System.,"Sanaz Mojrian, Gergo Pintér, Javad Hassannataj Joloudari, Imre Felde, Ákos Szabó-Gali, László Nádai, Amir Mosavi",RIVF,RIVF,2020,,
Métodos de Machine Learning Aplicados no Cenário da Educaçáo a Distância Brasileira (Machine Learning Techniques Applied to the Brazilian Distance Education).,"Charles Nicollas C. Freitas, Roberta M. M. Gouveia, Rodrigo G. F. Soares",SIIE,SIIE,2020,54.472710250000006,9.033521864910647
Learning Analytics in Distance and Mobile Learning for Designing Personalised Software.,"Katerina Kabassi, Efthimios Alepis",Machine Learning Paradigms,Machine Learning Paradigms,2020,,
Learning Feedback Based on Dispositional Learning Analytics.,"Dirk T. Tempelaar, Quan Nguyen 0003, Bart Rienties",Machine Learning Paradigms,Machine Learning Paradigms,2020,,
Using a Multi Module Model for Learning Analytics to Predict Learners&apos; Cognitive States and Provide Tailored Learning Pathways and Assessment.,"Christos Troussas, Akrivi Krouska, Maria Virvou",Machine Learning Paradigms,Machine Learning Paradigms,2020,,
Classification and Clustering Algorithms of Machine Learning with their Applications.,"Ravinder Ahuja, Aakarsha Chug, Shaurya Gupta, Pratyush Ahuja, Shruti Kohli",Nature-Inspired Computation in Data Mining and Machine Learning,Nature-Inspired Computation in Data Mining and Machine Learning,2020,,
An Improved Extreme Learning Machine Tuning by Flower Pollination Algorithm.,"Adis Alihodzic, Eva Tuba, Milan Tuba",Nature-Inspired Computation in Data Mining and Machine Learning,Nature-Inspired Computation in Data Mining and Machine Learning,2020,,
Performance-Based Prediction of Chronic Kidney Disease Using Machine Learning for High-Risk Cardiovascular Disease Patients.,"Mohamed Alloghani, Dhiya Al-Jumeily, Abir Hussain, Panagiotis Liatsis, Ahmed J. Aljaaf",Nature-Inspired Computation in Data Mining and Machine Learning,Nature-Inspired Computation in Data Mining and Machine Learning,2020,,
Implementation of Machine Learning and Data Mining to Improve Cybersecurity and Limit Vulnerabilities to Cyber Attacks.,"Mohamed Alloghani, Dhiya Al-Jumeily, Abir Hussain, Jamila Mustafina, Thar Baker, Ahmed J. Aljaaf",Nature-Inspired Computation in Data Mining and Machine Learning,Nature-Inspired Computation in Data Mining and Machine Learning,2020,,
Prospects of Machine and Deep Learning in Analysis of Vital Signs for the Improvement of Healthcare Services.,"Mohamed Alloghani, Thar Baker, Dhiya Al-Jumeily, Abir Hussain, Jamila Mustafina, Ahmed J. Aljaaf",Nature-Inspired Computation in Data Mining and Machine Learning,Nature-Inspired Computation in Data Mining and Machine Learning,2020,,
Algorithms for Optimization and Machine Learning over Cloud.,"Ratnik Gandhi, Mehul S. Raval",Nature-Inspired Computation in Data Mining and Machine Learning,Nature-Inspired Computation in Data Mining and Machine Learning,2020,,
"Proceedings of the AAAI 2020 Spring Symposium on Combining Machine Learning and Knowledge Engineering in Practice, AAAI-MAKE 2020, Palo Alto, CA, USA, March 23-25, 2020, Volume I","Andreas Martin 0001, Knut Hinkelmann, Hans-Georg Fill, Aurona Gerber, Doug Lenat, Reinhard Stolle, Frank van Harmelen","['AAAI Spring Symposium - Combining Machine Learning with Knowledge Engineering', 'CEUR Workshop Proceedings']","['AAAI Spring Symposium - Combining Machine Learning with Knowledge Engineering', 'CEUR Workshop Proceedings']",2020,,
"Proceedings of The 12th Asian Conference on Machine Learning, ACML 2020, 18-20 November 2020, Bangkok, Thailand.","Sinno Jialin Pan, Masashi Sugiyama","['ACML', 'Proceedings of Machine Learning Research']","['ACML', 'Proceedings of Machine Learning Research']",2020,,
"Artificial Intelligence and Machine Learning - 31st Benelux AI Conference, BNAIC 2019, and 28th Belgian-Dutch Machine Learning Conference, BENELEARN 2019, Brussels, Belgium, November 6-8, 2019, Revised Selected Papers","Bart Bogaerts 0001, Gianluca Bontempi, Pierre Geurts, Nick Harley, Bertrand Lebichot, Tom Lenaerts, Gilles Louppe","['BNAIC/BENELEARN', 'Communications in Computer and Information Science']","['BNAIC/BENELEARN', 'Communications in Computer and Information Science']",2020,,
"Proceedings of the 37th International Conference on Machine Learning, ICML 2020, 13-18 July 2020, Virtual Event.",,"['ICML', 'Proceedings of Machine Learning Research']","['ICML', 'Proceedings of Machine Learning Research']",2020,,
"Proceedings of the Machine Learning for Healthcare Conference, MLHC 2020, 7-8 August 2020, Virtual Event, Durham, NC, USA.","Finale Doshi-Velez, Jim Fackler, Ken Jung, David C. Kale, Rajesh Ranganath, Byron C. Wallace, Jenna Wiens","['MLHC', 'Proceedings of Machine Learning Research']","['MLHC', 'Proceedings of Machine Learning Research']",2020,,
"Proceedings of Mathematical and Scientific Machine Learning, MSML 2020, 20-24 July 2020, Virtual Conference / Princeton, NJ, USA","Jianfeng Lu 0001, Rachel A. Ward","['MSML', 'Proceedings of Machine Learning Research']","['MSML', 'Proceedings of Machine Learning Research']",2020,,
"Machine Learning for Health Workshop, ML4H@NeurIPS 2020, Virtual Event, 11 December 2020","Emily Alsentzer, Matthew B. A. McDermott, Fabian Falck, Suproteem K. Sarkar, Subhrajit Roy, Stephanie L. Hyland","['ML4H@NeurIPS', 'Proceedings of Machine Learning Research']","['ML4H@NeurIPS', 'Proceedings of Machine Learning Research']",2020,,
"Proceedings of MACLEAN: MAChine Learning for EArth ObservatioN Workshop co-located with the European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases (ECML/PKDD 2020), Virtual Conference, September 14-18, 2020.","Thomas Corpetti, Dino Ienco, Roberto Interdonato, Minh-Tan Pham, Sébastien Lefèvre","['MACLEAN@PKDD/ECML', 'CEUR Workshop Proceedings']","['MACLEAN@PKDD/ECML', 'CEUR Workshop Proceedings']",2020,,
